method_name,FM_1,FM_2,FM_3,FM_4,FM_5,FM_6,FM_7,FM_8,FM_9,FM_10,FM_11,FM_12,FM_13,FM_14,FM_15,FM_16,FM_17,FM_18,FM_19,FM_20,FM_21,FM_22,FM_23,FM_24,FM_25,FM_26,FM_27,FM_28,FM_29,FM_30,FM_31,FM_32,FM_33,FM_34,FM_35,FM_36,FM_37,FM_38,FM_39,FM_40,FM_41,FM_42,FM_43,FM_44,FM_45,FM_46,FM_47,FM_48,FM_49,FM_50,FM_51,FM_52,FM_53,FM_54,FM_55,FM_56,FM_57,FM_58,FM_59,FM_60,FM_61,FM_62,FM_63,FM_64,FM_65,FM_66,FM_67,FM_68,FM_69,FM_70,FM_71,FM_72,FM_73,FM_74,FM_75,FM_76,FM_77,FM_78,FM_79,FM_80,FM_81,FM_82,FM_83,FM_84,FM_85,FM_86,FM_87,FM_88,FM_89,FM_90,FM_91,FM_92,FM_93,FM_94,FM_95,FM_96,FM_97,FM_98,FM_99,FM_100
add_values,1.0,0.9799526516787482,0.9922935349563128,0.9756000568757767,0.9934138968805175,0.9279757611540106,0.9060898816341407,0.9785671813055401,0.9771319063643329,0.8504752988216755,0.8766267153306944,0.914108767370754,0.9913339084520719,0.9913339084520719,0.9646551266814105,0.9404064388746355,0.8190058951723089,0.9632349032412924,0.9976139887179301,0.8827276340870358,0.9932912293805723,0.9976139887179301,0.9141188802757491,0.9256290454602296,0.999616826528478,0.9728080082902586,0.9728080082902586,0.9830606574307622,0.9458320441402148,0.9629698580345045,0.9629698580345045,0.9629698580345045,0.9629698580345045,0.9664271105351016,0.964460155157236,0.964460155157236,0.9664271105351016,0.9027885086616307,0.9245827903978308,0.9205079841109342,0.9672130088396417,0.9543541643386558,0.9924911579659724,0.9446198289587333,0.819246721624732,0.9771217129858388,0.9471057130939784,0.9823154815915043,0.9999747758543001,0.9596749160985264,0.9295842057396002,0.9999747758543001,0.9917550086848724,0.9968039851225229,0.8211859179299524,0.9840656020908785,0.9934138968805175,0.9692581486506053,0.8873513945915579,0.9047346708657081,0.9544129295032425,0.9731656338304256,0.9806811590647836,0.9737290579277149,0.9636463713666564,0.9777053590449742,0.9806811590647836,0.9285525412955631,0.9877784501395969,0.9197664885346001,0.8778634914230827,0.999799457207078,0.9931476304892588,0.9410827628807588,0.9861252369952207,0.7797595278659348,0.8997283515794136,0.8831578156080412,0.9372995307185784,0.9035080812701516,0.9716005508953831,0.970198879497199,0.9990820414163775,0.9998041494745832,0.9221505057466665,0.897365743708766,0.994761597735119,0.9262765419780998,0.9990797514641682,0.9975022961730985,0.9990797514641682,0.969803370629279,0.9256290454602296,0.8897805530112441,0.9206644291154394,0.8719615288390089,0.9572865017431578,0.9400890434152265,0.9540349055882421,0.9405475620194712
array_calc,0.9799526516787482,1.0,0.9947565655530284,0.9973171314636567,0.9941922880199714,0.9743811313882857,0.9621730859497348,0.9976123548419431,0.9997412071748918,0.9210152022285133,0.9400909923380302,0.9680535686141236,0.9943865441761078,0.9943865441761078,0.9967641241067547,0.9844429307046452,0.8956343141673585,0.9959885250375,0.9894253827364413,0.9503373300585313,0.9943387587985139,0.9894253827364413,0.9706425633324669,0.9747817498668653,0.9778438249108543,0.9973701134334894,0.9973701134334894,0.9986496916841904,0.9849468779007753,0.9940217871546866,0.9940217871546866,0.9940217871546866,0.9940217871546866,0.9974331263032866,0.9969165538854096,0.9969165538854096,0.9974331263032866,0.9583288583913343,0.97590425710787,0.9741876598015179,0.9958298974842369,0.9920116444717675,0.9967447981222184,0.9881990591526695,0.8964419765922145,0.9997325562556671,0.9879915237930771,0.9962577033905246,0.9804844972246083,0.99420680406224,0.9736874481834951,0.9804844972246083,0.9958873677892288,0.9660234744973639,0.8975701108964671,0.9983249785643512,0.9941922880199714,0.9927213951354812,0.9491384192484059,0.9611010458876036,0.9905191405875492,0.9974537951411847,0.9957179907972105,0.9963984498623589,0.9942808588114795,0.9981719065442387,0.9957179907972105,0.9774700548236516,0.9980058800147945,0.9695300804279062,0.9396376018474731,0.9825997612993934,0.9958308832597507,0.9850268829305843,0.9984854714803536,0.8654699850821219,0.9582772404188085,0.9477111141057732,0.9801135421961028,0.964835093840239,0.998892494681717,0.9930784817818341,0.9845765272211168,0.9813289064371612,0.9717232985417726,0.9562307262858722,0.9624448811381302,0.9736897182753946,0.9862616097643764,0.9902046923474025,0.9862616097643764,0.998372240916618,0.9747817498668653,0.9552454160707086,0.9712693810530598,0.9380148019100899,0.9921970286554596,0.9871012426204636,0.9936348516648751,0.9833710157992229
array_copy,0.9922935349563128,0.9947565655530284,1.0,0.9907158193562547,0.9963818837558197,0.9541977155660444,0.9353050623382976,0.9905010643105234,0.9939080719665147,0.886244359468551,0.9099667873156656,0.9429810669444855,0.9943530983969365,0.9943530983969365,0.9851220912163531,0.9654966980582378,0.8568680343643784,0.9838939622420442,0.9956710806630745,0.9192104806506162,0.999843315895284,0.9956710806630745,0.9455553724478035,0.9516551931341186,0.991071670417982,0.9904994142404965,0.9904994142404965,0.9968420166478553,0.967878820199764,0.9818268079819665,0.9818268079819665,0.9818268079819665,0.9818268079819665,0.9875723407618653,0.9860455481994672,0.9860455481994672,0.9875723407618653,0.9323014638333615,0.9533640178351376,0.9511419653708532,0.9871948170143341,0.9764187520227586,0.9982506047589242,0.971537510406067,0.8575661945632972,0.993895685575526,0.972664897475454,0.9927348415951905,0.9926478414791507,0.9809123020042873,0.952703681255486,0.9926478414791507,0.9972520415104382,0.984006781344509,0.8591107141624271,0.9971044106932058,0.9963818837558197,0.9827210674496806,0.9192748965403316,0.9344577495370336,0.9774392496086984,0.9906591182266662,0.98969107753183,0.988414676795226,0.9837151655180154,0.9930524079679274,0.98969107753183,0.9565303630359105,0.9986501810392225,0.946752066664194,0.9092260458946956,0.9937380785335127,0.9975740260719879,0.9660201582344544,0.9964710183425005,0.8216540710058656,0.931006300279558,0.9169779497078205,0.9620080051252987,0.9371247545989081,0.9914134879035013,0.9834945845808398,0.9959232868498487,0.9937371735267116,0.949982359216152,0.9281002351091332,0.977100610821481,0.9518705762827164,0.9953645917286745,0.9963873162336622,0.9953645917286745,0.9897591221760474,0.9516551931341186,0.9252237674608597,0.9479862213934531,0.9064546824911027,0.9784569130728904,0.9680979651873565,0.9793461806494329,0.965157597616844
autoCorrelation,0.9756000568757768,0.9973171314636566,0.9907158193562547,1.0,0.993881625504371,0.9846902709900164,0.9730576620400717,0.9987137011888665,0.9980718975896051,0.9383155041697399,0.9553463406872975,0.9779581534803444,0.994006275798226,0.994006275798226,0.9981743330516093,0.9909768226407872,0.9157754056038606,0.9981232856440614,0.9877858588607158,0.9624133153794832,0.9911695221570977,0.9877858588607158,0.9795980676574745,0.9830187217014704,0.971944117219447,0.999302511758332,0.999302511758332,0.9979414048858063,0.9920582015500018,0.997886703116867,0.997886703116867,0.997886703116867,0.997886703116867,0.9982349996666361,0.9980104677379086,0.9980104677379086,0.9982349996666361,0.971021481499556,0.9845614340930284,0.9826817651494454,0.9986844395694984,0.9958880838585846,0.9943912796817588,0.9933130556250038,0.9165659868046335,0.998114830405679,0.9937028953882742,0.9989047616626975,0.9760417479599048,0.997027975793215,0.9836638306528134,0.9760417479599048,0.9956197218530732,0.957819241789471,0.917577961739721,0.9978206976177623,0.993881625504371,0.9973875128359924,0.9623804481659665,0.9727460174293605,0.9958230662386713,0.9993507695061559,0.9975465533284363,0.9994821616439069,0.9981457615154388,0.9992493662184537,0.9975465533284363,0.9861290340881804,0.995915920186027,0.9804247112788179,0.9552456813492952,0.9780762406901867,0.9942030934529272,0.9912925369368669,0.9973608559843372,0.8881288057680888,0.9707652097696337,0.9610725729172718,0.9891940183880149,0.9742138366229095,0.9972284208601377,0.997571914968598,0.9806417165004223,0.9764533072488815,0.9819117512328822,0.9683975188473726,0.9553171560418766,0.9831752400015211,0.9808762537410559,0.9883762019592881,0.9808762537410559,0.9984338026370901,0.9830187217014704,0.9665397365731112,0.981066846731623,0.9534787385067852,0.9967798211489101,0.9912651441894645,0.9955705810307727,0.9910408353899646
average,0.9934138968805175,0.9941922880199716,0.9963818837558197,0.9938816255043711,1.0,0.9642321758820752,0.948088889616287,0.99541657198841,0.9931267007732362,0.9039922702784174,0.9250329971959019,0.9541684939225322,0.9994124678524672,0.9994124678524672,0.9876303454948809,0.972992265140218,0.8775156447436603,0.9869063975538463,0.9988811752193856,0.9305189754852521,0.9973062657905066,0.9988811752193856,0.9543163621004684,0.962577515627574,0.991388209307558,0.9921643135757161,0.9921643135757161,0.9960201440980752,0.9766753865387585,0.9873734683069941,0.9873734683069941,0.9873734683069941,0.9873734683069941,0.988156362527872,0.9871450064274698,0.9871450064274698,0.988156362527872,0.9455752140908603,0.9620335459215575,0.9588609246391802,0.9891584252675588,0.9817803413286521,0.99928625528004,0.9754026819301834,0.8779284435181615,0.9931464703061118,0.9771312369662736,0.9971369488760063,0.9936672236363645,0.9850760318876156,0.9652017952463541,0.9936672236363645,0.9997209912576219,0.9822974898756381,0.8794046833541123,0.9965171993273484,1.0,0.9908160123152803,0.93369796761968,0.9471982386862826,0.9819086066063522,0.9923642306407762,0.9963015708309739,0.9933117815997661,0.9875292939218615,0.9946239806711371,0.9963015708309739,0.9648144846315073,0.997021210236315,0.958287937212083,0.9258234044877157,0.9946342581550105,0.9996401072148978,0.9734011272583724,0.9973024340820418,0.8444155743106521,0.943472501948189,0.9306755070202996,0.9707746567155907,0.946349290813845,0.9894856568577786,0.9913483305029054,0.994943032525841,0.9934316181529382,0.959983867785986,0.9414986090681937,0.9816931876685451,0.9630146536777546,0.9956361916542857,0.998998709506101,0.9956361916542857,0.9895789223974935,0.962577515627574,0.9359836611652624,0.9590181155680032,0.9216793175155574,0.9838914592154878,0.9720220592037919,0.9805085493395772,0.9731626906662327
bi_SearchFromTo,0.9279757611540105,0.9743811313882857,0.9541977155660444,0.9846902709900164,0.9642321758820752,1.0,0.9974865549789985,0.9823023246588164,0.9777880683537941,0.9840050730785705,0.9921249561019395,0.9986338378072684,0.9673997300193548,0.9673997300193548,0.9887419354510404,0.9982182577739398,0.9714360248071191,0.9895305144636813,0.9513252401766061,0.9931600072602751,0.9552744729828495,0.9513252401766061,0.9979745349480255,0.99807806050704,0.9219294834432133,0.9860178344766396,0.9860178344766396,0.9745876990882321,0.9982016804180679,0.9922717120780533,0.9922717120780533,0.9922717120780533,0.9922717120780533,0.9866488777177062,0.9878269316469368,0.9878269316469368,0.9866488777177062,0.9976683926211343,0.9988781130385926,0.9985979284774185,0.989179985351732,0.9936075588197405,0.9633623742005557,0.9953626580796264,0.9719299373651424,0.9778816004059558,0.9967063925460048,0.9809853278571135,0.9287121674202712,0.9926400923490721,0.9990597525719856,0.9287121674202712,0.9670299573225428,0.8982119206551822,0.9725093611183593,0.9740537165180164,0.9642321758820752,0.9906161567121355,0.9944673611397431,0.9977679220064501,0.9955238276617828,0.9858459615226911,0.9817182265510742,0.9876401687862439,0.9922315525090781,0.982501598700013,0.9817182265510742,0.9994455599356749,0.9667361517755302,0.9995461146625184,0.9918038427549398,0.9320840982866682,0.9633456295531547,0.9967671028280674,0.97079366557064,0.9542499132063904,0.9972056131062677,0.9938096320390644,0.9995421474189036,0.995675983798132,0.9782270927943811,0.9900943030638304,0.9347974033628109,0.9281215730503355,0.9996946952955038,0.9964754201600025,0.9015823858788966,0.9995098105338044,0.9365798383873769,0.9518978845463961,0.9365798383873769,0.9832592077679679,0.99807806050704,0.9942996786305529,0.9993400595737741,0.9911733802817714,0.9947582057749427,0.9947176903092053,0.9899666119321011,0.9988167199080401
bubble,0.9060898816341407,0.9621730859497347,0.9353050623382976,0.9730576620400719,0.9480888896162869,0.9974865549789985,1.0,0.9717011086463878,0.9657530652072258,0.9919748889397365,0.9966895396497034,0.9995946347435166,0.9528708907718816,0.9528708907718816,0.9803864716846945,0.9947838344112309,0.9824662118398191,0.9814478477257316,0.9329289834671597,0.9976693058966741,0.9362112849001988,0.9329289834671597,0.9983868892008696,0.9978255237578704,0.8998801845787684,0.9745685724399725,0.9745685724399725,0.9598982585923831,0.9938791522571114,0.9845170868807179,0.9845170868807179,0.9845170868807179,0.9845170868807179,0.9769733395459385,0.9788073264444452,0.9788073264444452,0.9769733395459385,0.9993420951535186,0.9975856131155024,0.9976001068022137,0.9787145005626603,0.9878805674449833,0.9474309667912106,0.9898165811511135,0.9829361694683812,0.9658539600919009,0.990509406554521,0.9680251487480067,0.9069032480856729,0.9856147212976952,0.9977316227778359,0.9069032480856729,0.9510909315178651,0.8728233672641027,0.9832399851157738,0.9590329723056094,0.9480888896162869,0.9820951431102952,0.9988589230262881,0.9998026942266391,0.9880144885984911,0.9743622806185174,0.9708983716506253,0.9773553451012171,0.9832166347425525,0.9700183448388433,0.9708983716506253,0.9972218370205305,0.9504397167339562,0.998907131977481,0.9967560009327071,0.9110252020549939,0.9473508612450556,0.993237064729617,0.9567292885224059,0.9688630589780152,0.9993394238718336,0.9984651520505139,0.995493976931165,0.9977628434038063,0.9667129757719385,0.9812584085946306,0.9129590883835035,0.9059722302230329,0.9984069867155757,0.9996258912555627,0.8797538642406024,0.998479207714512,0.9165378420198255,0.9334472477929556,0.9165378420198255,0.9726222260266718,0.9978255237578704,0.9980304040317127,0.9991787522442906,0.9964567682917094,0.9879550203958092,0.9908837562441237,0.9828537230608584,0.9948360715844703
cal_AbsoluteDiff,0.9785671813055401,0.9976123548419429,0.9905010643105235,0.9987137011888665,0.99541657198841,0.9823023246588162,0.9717011086463878,1.0,0.997514394210579,0.9355534963268715,0.9523575887238916,0.976291475198237,0.9963666866227423,0.9963666866227423,0.9974145544713731,0.9895423031302479,0.9126092962972184,0.9971776016276158,0.9900446958552945,0.9592102967456988,0.9910151435863906,0.9900446958552945,0.9769966290456997,0.9827645478401974,0.9756086604855791,0.9978725057752944,0.9978725057752944,0.9969065703562631,0.9912380349782386,0.997547290163841,0.997547290163841,0.997547290163841,0.997547290163841,0.9966827156823819,0.9965065818672068,0.9965065818672068,0.9966827156823819,0.9688672575033312,0.9823219210163024,0.9797070980495965,0.9968159647434668,0.9950086978486491,0.9956679761179796,0.9907977127604131,0.913268863386485,0.9975429390823872,0.991076824626922,0.9985964348317432,0.9790859387372789,0.9963185580939388,0.9830704508172352,0.9790859387372789,0.9962276144547649,0.96211003608884,0.9142645496080616,0.9968193750210129,0.99541657198841,0.9978767154714421,0.960279261828078,0.9708203640118876,0.9936910178856968,0.9979525026131429,0.9992066038361419,0.9991567760567883,0.9966554639032612,0.9985062461376648,0.9992066038361419,0.9836713418308841,0.9952572872043293,0.9783924789910051,0.9528355541549562,0.9810577950033426,0.9956120111945523,0.9902082160795785,0.9974848782418295,0.8845028310039784,0.9680004755614674,0.9584503856942499,0.9867654643858795,0.9717570450003381,0.9957405984597537,0.9981168209601964,0.9819101163767245,0.9789232038983263,0.9794089004530344,0.9664433232653394,0.962790813047619,0.9820494093782186,0.9840199924261724,0.9903820704976691,0.9840199924261724,0.9967543399360451,0.9827645478401974,0.9636162836160567,0.9795353001503347,0.950451318213396,0.9955669542595128,0.9889689415383461,0.9931797936994435,0.9891818145075976
cal_Diff,0.9771319063643329,0.9997412071748917,0.9939080719665147,0.998071897589605,0.9931267007732361,0.9777880683537941,0.9657530652072257,0.997514394210579,1.0,0.9266150430196175,0.9451898535223132,0.9714899729896197,0.9932276607982555,0.9932276607982555,0.9977924210838176,0.9868511101907795,0.9020220672958386,0.997122094213707,0.9876313267190189,0.9548776445544259,0.9935173868290157,0.9876313267190189,0.9741255119908392,0.9773454667759511,0.9746856367342919,0.9985204087995216,0.9985204087995216,0.9989668910184639,0.9871576285707432,0.9952311292966833,0.9952311292966833,0.9952311292966833,0.9952311292966833,0.9986312951725245,0.9981692353142153,0.9981692353142153,0.9986312951725245,0.9624224881852065,0.9790333967660508,0.9776678496346163,0.997415347881139,0.9934732583642858,0.9956659601628551,0.9906071461162049,0.9028417670308757,0.9999992622483631,0.9906345305428738,0.9966227782027326,0.9776972453130637,0.9956545106832225,0.9764759801869602,0.9776972453130637,0.9951652978763831,0.9619796217654994,0.9039475484180262,0.9986135450241491,0.9931267007732361,0.9935946429095324,0.953500186394116,0.9649045753821673,0.9928201391623608,0.9985693067758775,0.9955484602353142,0.9971635122243604,0.9959693994330928,0.9988792020242067,0.9955484602353142,0.9806901710677085,0.9977050252698931,0.9730366591207394,0.9444504556848197,0.9799344653339809,0.9946766674947116,0.9871420486252883,0.9979741245662679,0.8726795549748805,0.9624306868473225,0.9522548395674176,0.9831429132647169,0.9684555626374055,0.9994404416894979,0.9939183324342384,0.9824528540082821,0.9786490015554845,0.9753376283817866,0.9602649284506896,0.9577435071367278,0.9767474793089302,0.9836523171756282,0.9885013527898894,0.9836523171756282,0.9992588085312102,0.9773454667759511,0.9594772368486976,0.9745501890837343,0.9431041093997103,0.993924018540907,0.989410892581453,0.9953555333951905,0.9860007942841365
cal_DividedDiff,0.8504752988216756,0.9210152022285133,0.886244359468551,0.9383155041697399,0.9039922702784174,0.9840050730785705,0.9919748889397365,0.9355534963268713,0.9266150430196175,1.0,0.9984474311836135,0.989047192914128,0.9105774350988748,0.9105774350988748,0.9486009098917157,0.9748298912266431,0.9980559805032956,0.9502504010631768,0.8845319094784756,0.9940217070274433,0.8878873533262944,0.8845319094784756,0.9860778695607927,0.9831627408271212,0.8423271763682706,0.9410056591592868,0.9410056591592868,0.9195720610463937,0.9735498972410782,0.9558262762542017,0.9558262762542017,0.9558262762542017,0.9558262762542017,0.9438950855485508,0.9466298469380734,0.9466298469380734,0.9438950855485508,0.9937105502502024,0.9826657835891305,0.9838150262269598,0.9477705312904051,0.9609853976803974,0.9017864611168634,0.9662543661126157,0.998231735740543,0.9267526702373545,0.9680877188206676,0.9318368286659903,0.8514532153650213,0.957413144921581,0.9840479764703359,0.8514532153650213,0.9076634390107045,0.8094268525477625,0.998314414133607,0.9185665676093118,0.9039922702784174,0.9531625875658859,0.996689862577983,0.9926385053530288,0.9634289316185624,0.9406494629893055,0.9355576326696529,0.9447904170879717,0.9546986805356183,0.9341548023994146,0.9355576326696529,0.9818262144504738,0.9062507498963763,0.9879099151675277,0.9983852436263712,0.856183973148659,0.9019641672124749,0.9718740569369203,0.9136781911345889,0.9921696034306268,0.9933431413715078,0.996654695939821,0.9785843665444123,0.9872166072351117,0.9283815708978023,0.9518509141852941,0.8584181853023207,0.8497197033088365,0.9864001252498015,0.9945546427777224,0.8199774825162145,0.9852231905419151,0.8624548746815206,0.884979888415167,0.8624548746815206,0.93713279746176,0.9831627408271212,0.9921577266242454,0.9870981307904059,0.9987298110433124,0.9617485228768464,0.9677635027435231,0.953638776719749,0.9756573538762972
